fLength,fType,fTimestamp,fArray.fStr,fArray.fHeader,fArray.fType,fArray.fUri,fRows,fCols
13,ARRAY,1632119817551,ITEM,TRUE,TEXT,,13,5
13,ARRAY,1632119817551,PARQUES ZONALES,TRUE,TEXT,,13,5
13,ARRAY,1632119817551,AREA TOTAL(HA),TRUE,TEXT,,13,5
13,ARRAY,1632119817551,AREA VERDE(HA),TRUE,TEXT,,13,5
13,ARRAY,1632119817551,DIRECCION WEB,TRUE,TEXT,,13,5
13,ARRAY,1632119817551,1,,TEXT,,13,5
13,ARRAY,1632119817551,SINCHI ROCA,,TEXT,,13,5
13,ARRAY,1632119817551,54.00,,TEXT,,13,5
13,ARRAY,1632119817551,25.10,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-sinchi-roca/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-sinchi-roca/,13,5
13,ARRAY,1632119817551,2,,TEXT,,13,5
13,ARRAY,1632119817551,HUASCAR,,TEXT,,13,5
13,ARRAY,1632119817551,66.60,,TEXT,,13,5
13,ARRAY,1632119817551,21.70,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huascar/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huascar/,13,5
13,ARRAY,1632119817551,3,,TEXT,,13,5
13,ARRAY,1632119817551,HUIRACOCHA,,TEXT,,13,5
13,ARRAY,1632119817551,29.30,,TEXT,,13,5
13,ARRAY,1632119817551,12.60,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huiracocha/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huiracocha/,13,5
13,ARRAY,1632119817551,4,,TEXT,,13,5
13,ARRAY,1632119817551,HUAYNA CAPAC,,TEXT,,13,5
13,ARRAY,1632119817551,16.80,,TEXT,,13,5
13,ARRAY,1632119817551,10.20,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huayna-capac/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-huayna-capac/,13,5
13,ARRAY,1632119817551,5,,TEXT,,13,5
13,ARRAY,1632119817551,LLOQUE YUPANQUI,,TEXT,,13,5
13,ARRAY,1632119817551,9.10,,TEXT,,13,5
13,ARRAY,1632119817551,3.10,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-lloque-yupanqui/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-lloque-yupanqui/,13,5
13,ARRAY,1632119817551,6,,TEXT,,13,5
13,ARRAY,1632119817551,CAHUIDE,,TEXT,,13,5
13,ARRAY,1632119817551,57.60,,TEXT,,13,5
13,ARRAY,1632119817551,16.00,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-cahuide/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-cahuide/,13,5
13,ARRAY,1632119817551,7,,TEXT,,13,5
13,ARRAY,1632119817551,MANCO CAPAC,,TEXT,,13,5
13,ARRAY,1632119817551,6.00,,TEXT,,13,5
13,ARRAY,1632119817551,3.80,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-manco-capac/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-manco-capac/,13,5
13,ARRAY,1632119817551,8,,TEXT,,13,5
13,ARRAY,1632119817551,CAPAC YUPANQUI,,TEXT,,13,5
13,ARRAY,1632119817551,3.20,,TEXT,,13,5
13,ARRAY,1632119817551,1.70,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-capac-yupanqui/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-capac-yupanqui/,13,5
13,ARRAY,1632119817551,9,,TEXT,,13,5
13,ARRAY,1632119817551,FLOR DE AMANCAES,,TEXT,,13,5
13,ARRAY,1632119817551,7.42,,TEXT,,13,5
13,ARRAY,1632119817551,2.80,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-flor-de-amancaes/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-flor-de-amancaes/,13,5
13,ARRAY,1632119817551,10,,TEXT,,13,5
13,ARRAY,1632119817551,SANTA ROSA,,TEXT,,13,5
13,ARRAY,1632119817551,29.50,,TEXT,,13,5
13,ARRAY,1632119817551,3.00,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/club-zonal-santa-rosa/,,LINK,https://www.serpar.gob.pe/clubes-zonales/club-zonal-santa-rosa/,13,5
13,ARRAY,1632119817551,11,,TEXT,,13,5
13,ARRAY,1632119817551,SAN PEDRO,,TEXT,,13,5
13,ARRAY,1632119817551,32.10,,TEXT,,13,5
13,ARRAY,1632119817551,20.00,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/,,LINK,https://www.serpar.gob.pe/clubes-zonales/,13,5
13,ARRAY,1632119817551,12,,TEXT,,13,5
13,ARRAY,1632119817551,PUNTO B ANCON,,TEXT,,13,5
13,ARRAY,1632119817551,11.00,,TEXT,,13,5
13,ARRAY,1632119817551,40.40,,TEXT,,13,5
13,ARRAY,1632119817551,https://www.serpar.gob.pe/clubes-zonales/,,LINK,https://www.serpar.gob.pe/clubes-zonales/,13,5
