fLength,fType,fTimestamp,fArray.fStr,fArray.fHeader,fArray.fType,fRows,fCols
8,ARRAY,1632119887672,ZONA,TRUE,TEXT,8,7
8,ARRAY,1632119887672,TOTAL,TRUE,TEXT,8,7
8,ARRAY,1632119887672,OPERATIVA,TRUE,TEXT,8,7
8,ARRAY,1632119887672,INOPERATIVA,TRUE,TEXT,8,7
8,ARRAY,1632119887672,PORCENTAJE OPERATIVIDAD,TRUE,TEXT,8,7
8,ARRAY,1632119887672,"",TRUE,TEXT,8,7
8,ARRAY,1632119887672,"",TRUE,TEXT,8,7
8,ARRAY,1632119887672,1,,TEXT,8,7
8,ARRAY,1632119887672,31,,TEXT,8,7
8,ARRAY,1632119887672,31,,TEXT,8,7
8,ARRAY,1632119887672,0,,TEXT,8,7
8,ARRAY,1632119887672,100.00%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,2,,TEXT,8,7
8,ARRAY,1632119887672,35,,TEXT,8,7
8,ARRAY,1632119887672,35,,TEXT,8,7
8,ARRAY,1632119887672,0,,TEXT,8,7
8,ARRAY,1632119887672,100.00%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,3,,TEXT,8,7
8,ARRAY,1632119887672,15,,TEXT,8,7
8,ARRAY,1632119887672,14,,TEXT,8,7
8,ARRAY,1632119887672,1,,TEXT,8,7
8,ARRAY,1632119887672,93.33%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,4,,TEXT,8,7
8,ARRAY,1632119887672,35,,TEXT,8,7
8,ARRAY,1632119887672,35,,TEXT,8,7
8,ARRAY,1632119887672,0,,TEXT,8,7
8,ARRAY,1632119887672,100.00%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,5,,TEXT,8,7
8,ARRAY,1632119887672,13,,TEXT,8,7
8,ARRAY,1632119887672,13,,TEXT,8,7
8,ARRAY,1632119887672,0,,TEXT,8,7
8,ARRAY,1632119887672,100.00%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,6,,TEXT,8,7
8,ARRAY,1632119887672,31,,TEXT,8,7
8,ARRAY,1632119887672,28,,TEXT,8,7
8,ARRAY,1632119887672,3,,TEXT,8,7
8,ARRAY,1632119887672,90.32%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,TOTAL,,TEXT,8,7
8,ARRAY,1632119887672,160,,TEXT,8,7
8,ARRAY,1632119887672,156,,TEXT,8,7
8,ARRAY,1632119887672,4,,TEXT,8,7
8,ARRAY,1632119887672,97.50%,,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
8,ARRAY,1632119887672,"",,TEXT,8,7
