Congresista virtualmente electa,Organización Política,Distrito electoral,Posición en la lista,Votos alcanzados  (hasta esta publicación)
Susel Paredes Piqué,Partido Morado,Lima,1,"59,112"
María de los Milagros Jáuregui Martínez de Aguayo,Renovación Popular,Lima,2,"51,888"
Flor Pablo Medina,Partido Morado,Lima,3,"41,502"
Adriana Tudela,Avanza País,Lima,5,"35,866"
Sigrid Bazán Narro,Juntos por el Perú,Lima,6,"34,513"
Diana Gonzáles Delgado,Avanza País,Arequipa,1,"23,728"
María Taipe Coronado,Perú Libre,Apurímac,2,"7,931"
Digna Calle Lobatón,Podemos Perú,Lima,2,"41,685"
Norma Yarrow Lumbreras,Renovación Popular,Lima,4,"39,084"
Patricia Juárez Gallegos,Fuerza Popular,Lima,2,"30,348"
